id,Player,ShotVideoId,CamPos,ClubType,PlayerPSystem,PlayerScore,PoseImpact,Coach,CoachPSystem,SwingPlane,Status
1634,Lin999,1108,side,9Iron,"[165, 293, 345, 314]","{A: 0.993, F: 0.658, I: 0.729, T: 0.984}","{A: [0.001, 0.001, 0.001, 0.0, -0.002, -0.0], F: [0.051, -0.009, 0.052, -0.034, -0.097, 0.031], I: [-0.042, -0.067, -0.034, 0.225, -0.055, -0.017], T: [0.005, 0.003, -0.002, -0.004, -0.002, 0.0]}",coach_3,"[159, 289, 347, 407]",NULL,COMPLETED
1635,Lin999,1108,front,9Iron,"[188, 309, 379, 476]","{A: 0.785, F: 0.996, I: 0.996, T: 0.98}","{A: [-0.024, -0.052, -0.016, 0.172, -0.052, -0.026], F: [0.0, 0.002, 0.001, -0.001, -0.001, -0.001], I: [0.0, 0.002, 0.0, -0.001, -0.001, -0.001], T: [0.013, 0.002, -0.0, -0.007, -0.005, -0.003]}",coach_3,"[153, 299, 355, 413]",NULL,COMPLETED
