frame,timestamp,track_id,bbox,pose0_x,pose0_y,pose1_x,pose1_y,pose2_x,pose2_y,pose3_x,pose3_y,pose4_x,pose4_y,pose5_x,pose5_y,pose6_x,pose6_y,pose7_x,pose7_y,pose8_x,pose8_y,pose9_x,pose9_y,pose10_x,pose10_y,pose11_x,pose11_y,pose12_x,pose12_y,pose13_x,pose13_y,pose14_x,pose14_y,pose15_x,pose15_y,pose16_x,pose16_y
4,66.67,1,"[153.53140258789062, 248.7640380859375, 393.9752502441406, 890.462646484375]",268.7996282162874,324.20432049295175,282.91155209748644,311.1141251273777,257.8237012780231,309.5461266559103,305.40970644743544,317.3860977836277,239.00780785602072,311.1141251273777,327.36158155358356,392.64966085682744,209.21596692956012,369.1298085088315,311.6816592009171,487.2754224694294,212.8982232135275,466.34525597613793,277.1858692998471,563.5607140582541,237.98607934039572,544.7448358950408,306.9777049189029,557.2887414020041,233.2821044921875,554.6990648352581,327.36158155358356,692.1360261336616,211.330230049465,690.0217577063519,348.7672066066576,821.1867463485054,192.51432667607847,821.1867463485054
5,83.33,1,"[153.53140258789062, 248.7640380859375, 393.9752502441406, 890.462646484375]",268.9582201086957,323.857713782269,283.0625809379246,311.11565764054006,257.98817112134856,309.5485017195992,305.2075606636379,317.3842733631963,239.1823617686396,311.11565764054006,327.14766659943956,392.60750679347825,209.40648617951766,369.10025289784306,311.4761498492697,486.84144260572356,212.74564527428666,466.26361482039744,276.9988429857337,563.4269807235055,237.8200570811396,544.6211866295856,306.7747165845788,557.1583650008492,233.1186065673828,554.2289614470109,327.14766659943956,691.9334026834239,211.1784913436226,690.1613955290421,348.88294783882475,821.5972210427989,192.3726687224015,821.5972210427989
6,100.0,1,"[153.7255859375, 248.52294921875, 393.47735595703125, 890.4596557617188]",267.7224600241473,323.45279815021433,283.0504715074553,310.9464078708386,256.7532797335446,309.3793780039155,304.9590188794351,317.2145284983438,239.17368854876085,310.9464078708386,326.89740214948137,392.43186040955317,209.40015449433315,368.9264461127709,312.45185601966114,486.4236860479142,212.504371081282,466.0821691227639,276.75251440197724,563.2378915528503,237.57681495503405,544.4335441679966,306.5260487463582,556.9697709253452,232.87572839877384,553.8058813824506,326.89740214948137,691.7342092917254,210.9373409244057,690.1969993029525,348.8656363951622,820.6324351258629,192.13299850500113,821.8571588874146
7,116.67,1,"[153.7255859375, 248.52294921875, 393.47735595703125, 890.4596557617188]",267.2156620673696,323.078366209576,283.1236501699832,310.8664424557042,256.24996929332195,309.2999132245603,304.7347327550187,317.1325718293588,239.2608058054462,310.8664424557042,326.66614108335307,392.3260033239231,209.49673576004358,368.82805331536565,312.81002702351554,485.9974480049553,212.3094669662329,465.95290087560335,276.53718882849006,563.0777422113014,237.3739430936644,544.2793571159365,306.3012619861625,556.8116128376467,232.67434993209295,553.3582176957804,326.66614108335307,691.5332226779334,210.74293462281926,690.2869916981094,348.9178844051249,820.3866304403296,191.9445687415838,822.1957968479712
8,133.33,1,"[154.9529571533203, 240.48133850097656, 391.9828186035156, 890.431884765625]",270.9197292156166,322.68218183208995,285.61104623560414,310.1322210213584,257.2554959636307,308.5492883625318,306.3667491071844,315.1721290671124,237.41333186688448,310.1322210213584,328.5278373193233,392.4448276890664,208.62942669230765,368.70080240580796,311.8515379101956,487.30735866767407,212.97361114850509,466.84273881400566,275.29021994717715,563.6928211689957,239.59241983457815,547.2813181503593,307.94968176601094,559.9447898155188,233.5517674124004,556.6653858070948,327.23598547226203,692.2016021860322,211.39067738660526,689.4403439313188,346.9268792747456,818.199903118186,192.3954644710366,819.9366597827399
9,150.0,1,"[154.9529571533203, 240.48133850097656, 391.9828186035156, 890.431884765625]",272.5526170524442,322.29669672804255,286.91097202757794,309.7198055574165,257.518877699421,308.12878399669887,307.0857142954347,314.1356488247077,236.51741661275287,309.7198055574165,329.36008004498797,392.45313899789113,208.23622203478638,368.5877458062949,311.5406684965921,487.76331766225314,213.2152191021057,467.2313135689451,274.5506808273599,563.9265920641012,240.61991871091973,548.7308787973418,308.6767358561522,561.4590725935685,233.8985623743139,558.1256816620253,327.41179371815645,692.442370483418,211.62419607105676,689.0543971552474,345.9408798918122,816.9678486981061,192.5318980410354,818.9552786548131
10,166.67,1,"[154.84767150878906, 241.38800048828125, 391.6418762207031, 890.9483032226562]",272.11225300255694,324.544600242236,285.03917190284915,310.5714266724833,257.4574112566931,310.2845140300713,306.7730012297369,315.155687824287,237.86561604178593,310.5714266724833,329.00813067602513,391.8576899608721,208.1567325703056,368.0343583692653,311.2914763878165,487.11711688027736,213.06787779315502,467.8054628622452,275.9490243821955,563.2052876139064,240.24808755317682,547.683925432722,308.3612270983628,560.38968807958,233.7147809144016,557.1793478614973,327.23947804653545,691.6709093749107,211.47966411588337,689.649255102968,345.9712264348076,816.5524047787111,192.4209934432166,819.5565920564453
11,183.33,1,"[154.84767150878906, 241.38800048828125, 391.6418762207031, 890.9483032226562]",272.6817961850631,325.50974683320874,284.71235961243656,310.8073195726956,257.5541824728901,311.1853276836397,306.96283169810823,315.173970274484,238.1206788078931,310.8073195726956,329.23301626308995,391.5563402293003,207.9244284650214,367.6954616558681,311.01224048329215,487.00779207402275,213.10999859240337,468.2892164493412,276.3059782298877,562.949212451518,240.55788776448404,547.8530556381907,308.5535638981232,560.5788406015625,233.78944994435636,557.405313823634,327.2367379408748,691.3925180204468,211.51928541175226,689.7663506569968,345.50649801475276,815.7391795496861,192.43057039716993,819.3869549226828
12,200.0,1,"[155.06283569335938, 242.39939880371094, 392.3472900390625, 890.92529296875]",272.3232194920852,324.782479814208,286.01740697379455,311.6228193327944,259.13344622559833,310.50788446876425,306.99001542879057,314.96465436522067,237.4826786401249,311.6228193327944,327.8802255037567,392.2760526032041,208.59350386562434,367.1988708462122,311.53136224174324,486.08897460340427,213.47007805581143,467.24513873894944,276.8344705737772,562.051652851088,240.52897862561716,546.4257921335247,307.27416217410655,560.4073758485905,234.07616618043738,557.2460846532224,327.483602477584,692.9328172579845,211.88499950244287,690.1114582381459,346.2707985441431,816.4872768364888,192.8640073806519,819.8544945582929
13,216.67,1,"[155.06283569335938, 242.39939880371094, 392.3472900390625, 890.92529296875]",272.416191629862,324.8786057716139,286.52852206715903,312.15632879531154,259.99144779101084,310.5982946986874,307.09633004134446,314.86606959727936,237.27917140180887,312.15632879531154,327.29500575366836,392.4989978977314,208.82404015861755,366.77900135959163,311.6620670739296,485.5639914593133,213.6754642874268,466.9443814273492,277.2795060179349,561.4661882241589,240.664858341161,545.7752060088789,306.71079059570195,560.4113585923881,234.25971722146082,557.2742605975045,327.6090293774208,693.5882872487672,212.09206294453867,690.3456334204059,346.4371519766713,816.4757595787961,193.09122800588867,820.0120349871257
