id,Player,ShotVideoId,CamPos,ClubType,PlayerPSystem,PlayerScore,PoseImpact,Coach,CoachPSystem,SwingPlane,Status
1740,Han622,1162,front,7Iron,"[196, 319, 381, 466]","{A: 1.0, F: 0.718, I: 0.999, T: 0.75}","{A: [-0.0, -0.0, 0.0, 0.0, -0.0, -0.0], F: [-0.04, -0.034, 0.0, 0.194, -0.07, -0.041], I: [0.0, 0.0, 0.001, -0.0, -0.0, -0.0], T: [-0.039, -0.041, 0.0, 0.181, -0.061, -0.035]}",coach_1,"[342, 503, 571, 703]",NULL,COMPLETED
1741,Han622,1162,side,7Iron,"[203, 331, 385, 486]","{A: 0.998, F: 0.989, I: 0.981, T: 0.744}","{A: [0.0, -0.001, 0.0, 0.0, -0.0, 0.0], F: [0.003, 0.002, 0.001, -0.003, -0.003, 0.001], I: [0.005, -0.003, -0.001, 0.006, -0.003, -0.002], T: [-0.046, -0.038, -0.029, 0.201, -0.058, -0.02]}",coach_1,"[328, 477, 557, 730]",NULL,COMPLETED
