id,Player,ShotVideoId,CamPos,ClubType,PlayerPSystem,PlayerScore,PoseImpact,Coach,CoachPSystem,SwingPlane,Status
2680,Lin188,1707,side,7Iron,"[169, 313, 367, 428]","{A: 0.853, F: 0.987, I: 0.913, T: 0.986}","{A: [0.145, -0.045, -0.006, -0.048, -0.035, -0.013], F: [-0.001, 0.004, 0.004, -0.004, -0.004, 0.001], I: [0.04, -0.023, -0.002, 0.013, -0.016, -0.008], T: [0.004, 0.003, -0.002, -0.003, -0.002, -0.001]}",coach_1,"[328, 477, 557, 730]",NULL,COMPLETED
2683,Lin188,1707,front,7Iron,"[3294, 3819, 6003, 7012]","{A: 0.613, F: 0.99, I: 0.779, T: 0.912}","{A: [0.186, -0.091, 0.158, -0.121, -0.086, -0.048], F: [-0.0, 0.004, 0.003, -0.003, -0.003, -0.001], I: [-0.023, -0.052, -0.019, -0.072, -0.051, 0.22], T: [0.02, -0.012, 0.052, -0.031, -0.021, -0.012]}",coach_3,"[139, 281, 329, 380]",NULL,COMPLETED
