id,Player,ShotVideoId,CamPos,ClubType,PlayerPSystem,PlayerScore,PoseImpact,Coach,CoachPSystem,SwingPlane,Status
1736,Sun233,1160,front,7Iron,"[124, 170, 171, 431]","{A: 0.933, F: 0.982, I: 0.735, T: 0.704}","{A: [-0.001, 0.047, -0.002, -0.019, -0.017, -0.009], F: [0.002, 0.005, 0.002, -0.002, -0.004, -0.003], I: [0.01, -0.0, -0.009, 0.005, -0.053, 0.047], T: [0.096, -0.0, -0.003, -0.07, -0.079, 0.045]}",coach_3,"[160, 305, 353, 413]",NULL,COMPLETED
1737,Sun233,1160,side,7Iron,"[167, 291, 357, 450]","{A: 0.997, F: 0.995, I: 0.982, T: 0.995}","{A: [0.0, -0.0, 0.0, 0.001, -0.001, 0.0], F: [-0.0, 0.002, 0.001, -0.001, -0.002, -0.0], I: [0.014, -0.006, 0.0, -0.003, -0.005, -0.0], T: [0.001, 0.0, -0.0, -0.001, -0.001, 0.001]}",coach_3,"[147, 271, 331, 382]",NULL,COMPLETED
