frame,timestamp,track_id,bbox,pose0_x,pose0_y,pose1_x,pose1_y,pose2_x,pose2_y,pose3_x,pose3_y,pose4_x,pose4_y,pose5_x,pose5_y,pose6_x,pose6_y,pose7_x,pose7_y,pose8_x,pose8_y,pose9_x,pose9_y,pose10_x,pose10_y,pose11_x,pose11_y,pose12_x,pose12_y,pose13_x,pose13_y,pose14_x,pose14_y,pose15_x,pose15_y,pose16_x,pose16_y
4,66.67,1,"[152.52444458007812, 256.1326599121094, 384.6510009765625, 888.761474609375]",268.5176577360734,335.06909047002375,283.9373474121094,322.7333466903023,258.2585608440897,320.1840899923573,308.6709329356318,326.35198178498644,242.3662865680197,320.7187685759171,328.71652619735056,399.3591733186141,213.0688755201257,377.7716223675272,311.754858929178,495.49591462508494,217.6947844132133,470.82441777768344,278.3662427819294,573.601610266644,239.28235062308934,548.9301439368206,313.8315257196841,555.632663892663,237.74037767493206,553.556027619735,327.1745379904042,691.8606116253396,213.0688755201257,688.776635211447,347.22013125212294,818.3020231827446,193.0232875658118,819.843970257303
5,83.33,1,"[152.52444458007812, 256.1326599121094, 384.6510009765625, 888.761474609375]",269.52674799380094,335.7371401579483,284.9622802734375,323.38872494904894,258.92238451086956,320.5021163277004,308.7171073581862,326.6763504691746,242.34432386315385,320.7026207965353,328.7832999851393,399.4238440472147,213.01680656101394,377.81410814368206,311.8041978918988,495.3246513034987,217.64746889860734,470.62779832922894,278.0465512483017,573.8453395677649,239.25722006092903,549.1485171110734,313.5482761548913,555.5231986667799,237.71366152556047,553.7791509213654,327.2397261909816,691.5564177139945,213.01680656101394,688.4692701256794,347.30591881793475,818.1277545431386,192.95061592433763,819.6712938391644
6,100.0,1,"[152.74838256835938, 256.1880187988281, 384.8379211425781, 888.7603149414062]",270.38086140467266,336.2340456856118,284.61932590511805,323.8777785493756,259.5398972028791,320.75950901638583,308.9065831562686,326.9376498333349,242.491600018499,320.7302985474503,328.9855289413924,399.5015444359134,213.1454502567826,377.8780846675048,311.99565824023904,495.23349042516423,217.7790462829155,470.5209244753006,277.986697018005,574.0339639622921,239.40253323443994,549.3214285300066,313.51099227216633,555.4703211116112,239.06487703663154,552.748108780016,327.4410082891831,691.3601897685941,213.1454502567826,688.2711007668684,347.5199540743069,819.21889961587,193.06649225737874,819.5565530591226
7,116.67,1,"[152.74838256835938, 256.1880187988281, 384.8379211425781, 888.7603149414062]",271.3159961458155,336.82042475602583,284.991497991204,324.4537860744689,260.1816211035832,321.04860075438773,309.0211415179047,327.23192160796566,242.55039871501046,320.73506447097606,329.11694242963364,399.5724329658374,213.17961803571407,377.9308259068325,312.1128180465533,495.1004522816647,217.81709911216822,470.36713195189355,277.7910007932616,574.251397000996,239.4587390446212,549.518107188803,313.3451184279956,555.3878597285917,239.69571490151372,552.3727397577928,327.57114099409785,691.1075176099946,213.17961803571407,688.0158442802866,347.66694190582683,819.6484910152822,193.08379639705623,819.4115237387992
8,133.33,1,"[153.8112335205078, 251.15023803710938, 385.4283752441406, 887.422607421875]",272.6382427824449,340.2806214351345,286.4574871408492,326.5980912902463,260.39679316696345,324.64716202281625,308.5813630207771,328.32677320338837,243.09997289269313,324.5360362200742,328.76039272886464,398.6412801786306,213.60753693145392,376.91001708703186,312.95049124425816,492.2393292673925,218.26423789215747,471.1975651067442,279.9549059032261,570.24969938062,239.99550815168183,549.2079408923339,313.12693331654646,556.5704349253111,238.88169212791647,554.6908941533816,327.20816233648037,691.7912224895998,213.60753693145392,689.9514155586961,347.3872168897839,816.9834466798187,193.42848936594064,818.097266405294
9,150.0,1,"[153.8112335205078, 251.15023803710938, 385.4283752441406, 887.422607421875]",273.7700824292661,342.3272863511813,287.3854654029411,327.97100496293774,260.82177136724863,326.6179093736217,308.4142437052648,329.0278471971526,243.40815153815115,326.46978525561804,328.643855290803,398.20299695467634,213.8417832334057,376.41725051431877,313.4337687554168,490.72005710875527,218.51016140245147,471.5438915966384,280.9582044998609,568.3232466126223,240.29590474775028,549.1470741481564,312.93447831324346,557.1307822598704,238.77834646879907,555.684197280014,327.087728150564,692.0143557999796,213.8417832334057,690.8093942216789,347.31737720602916,815.8405469276156,193.61215106145698,817.3581120045197
10,166.67,1,"[153.0126190185547, 247.04437255859375, 384.76092529296875, 887.0938110351562]",273.8127860722333,342.468381073223,287.7593639005504,328.2313847053621,261.10472349754923,326.81361931758966,309.28745445906037,329.5827181031832,242.57236385802108,325.4981484416618,329.59543516286675,398.2089322191236,212.89144169361433,377.62104956041554,311.58700888534133,491.5497017453584,217.57790648360842,470.4922757168753,278.92618571500316,569.5129803576233,240.7303116282609,549.7377819553075,313.94069844934296,555.1284469458392,239.10333541341714,553.6643252620071,326.75102307800717,690.8249627943151,214.1736978744102,688.1581600927989,345.77678163111483,815.3771772746978,193.86570046629728,817.0041552647598
11,183.33,1,"[153.0126190185547, 247.04437255859375, 384.76092529296875, 887.0938110351562]",274.3860216464146,343.53770315301637,288.40316166368524,329.03369380507263,261.4568583239732,327.87397244670115,309.65390727003063,330.20880638354566,242.2938166527358,325.94176184457757,330.026721575437,397.9984830359915,212.51812788327908,377.99843002242943,310.8752397118299,491.2351592839035,217.2195571882257,470.1216152572581,278.37270844062044,569.1847802147402,241.0994404032309,550.0110995523992,314.3630287550124,554.3744267823812,239.2196771516978,553.1122089906794,326.51966629138406,690.323629233651,214.45803703140467,687.2163079262452,344.95260986417344,814.5827999105152,194.08520668345068,816.4625638693884
12,200.0,1,"[152.5561981201172, 246.21450805664062, 384.8360290527344, 887.9979248046875]",273.67534815518854,342.03704761023533,287.77453903534155,327.8159897372925,261.0307660858451,326.3677587015206,309.53884261724124,329.2815334434974,242.0516819949535,324.62574412223915,329.920151050268,397.8684918809322,212.26357466982805,378.95745915297977,312.1391827164324,491.72304469474517,218.2543808523084,471.21115984437176,278.0476493714649,569.9932152612693,240.66677201836285,549.9445573232897,314.25089626386506,556.9765957971757,238.99902046612397,554.2126516185689,326.6016875441017,691.9850821666422,214.01425893718599,688.7774991939965,345.232344418026,815.7995047037673,193.63292268615777,817.467231116797
13,216.67,1,"[152.5561981201172, 246.21450805664062, 384.8360290527344, 887.9979248046875]",273.58932203182303,341.7867374389874,287.76497430585056,327.5810623646176,260.98329683634427,326.11023093080644,309.65804581442677,329.1100017189364,241.7918319065635,324.1658220381434,330.07525865285464,397.6993562904818,211.9512420573152,379.63350460531643,312.44190234084385,491.8205329413072,218.61139808480522,471.5902855524913,277.61146028966994,570.2486546179839,240.62419394358383,550.0433636781244,314.3987905832185,557.9459118376265,238.94232023518197,554.5090913817361,326.5312441303616,692.594296333738,213.92472440796607,689.1209099078088,344.9750065294235,816.0377779164353,193.50747802703495,817.7196126943966
