frame,timestamp,track_id,bbox,pose0_x,pose0_y,pose1_x,pose1_y,pose2_x,pose2_y,pose3_x,pose3_y,pose4_x,pose4_y,pose5_x,pose5_y,pose6_x,pose6_y,pose7_x,pose7_y,pose8_x,pose8_y,pose9_x,pose9_y,pose10_x,pose10_y,pose11_x,pose11_y,pose12_x,pose12_y,pose13_x,pose13_y,pose14_x,pose14_y,pose15_x,pose15_y,pose16_x,pose16_y
2,33.33,1,"[338.6612854003906, 350.0123291015625, 789.0311279296875, 1586.1424560546875]",557.8085778277854,575.7228685461956,584.9700131623641,548.5614146356997,536.6829966669497,545.5434676460598,627.2211781377378,533.471703570822,506.5035957668139,524.4178652556046,693.615871263587,672.296922766644,428.03717837126356,648.1533733865489,651.3647062882134,874.4988880986753,494.43185159434444,844.3194871985394,621.1853053880775,1044.553227963655,554.7906122622283,1016.3420118248981,645.3287937330163,977.1088336447011,494.43185159434444,977.1088336447011,678.5261601987092,1206.4722741168478,443.12686820652175,1200.4363005264945,720.7773251740829,1432.8177065641983,403.89363960597825,1435.8356137483017
3,50.0,1,"[338.6612854003906, 350.0123291015625, 789.0311279296875, 1586.1424560546875]",557.8097321883492,575.7404360563859,584.9709021526834,548.5792209791101,536.6843235181726,545.5613137950068,627.2216823412024,533.4896558678669,506.5052012567935,524.4358971637229,693.6157783840014,672.3136012865149,428.0395003609035,648.1702774711276,651.3649981954824,874.5137355638586,494.433569866678,844.3346133024796,621.1858759341034,1043.9104481572692,554.7917798913044,1016.3555722443954,645.3291387143341,977.1227523140286,494.433569866678,977.1227523140286,678.5262132727581,1206.4841096297553,443.12905751103943,1200.448189113451,720.7769934612771,1432.8274987262228,403.89618052606994,1435.8453528362772
4,66.67,1,"[338.7419128417969, 351.2854919433594, 788.9412841796875, 1586.0833740234375]",557.8120043249424,578.9131742282605,584.9501448606369,551.7750180350913,536.704553019689,548.75966617104,627.1650783511635,534.3423753317065,504.1951557077875,525.2963506195721,695.8586804170224,673.0485390416234,425.7960319609653,648.9257370321315,651.2879292177757,875.0771352446277,494.48962677799324,844.9236271874072,621.1343734632479,1043.8794589008685,554.7966368034164,1016.7986531382219,645.2572098321982,977.5990860094084,494.48962677799324,977.5990860094084,678.4260854109449,1206.765837245769,443.2286519755094,1200.7351045223427,720.6410189014715,1432.9171278856145,404.02907092894054,1435.9324652520042
5,83.33,1,"[338.7419128417969, 351.2854919433594, 788.9412841796875, 1586.0833740234375]",557.8136920923046,580.4364006864278,584.9407041660583,553.309373137996,536.7149002845778,550.295261492183,627.1383303163909,534.7586815654893,503.0936328904092,525.7163891629297,696.928952890869,673.4079734883402,424.72665458536585,649.2950824838797,651.251304228567,875.353753827887,494.5172756470445,845.2126146336423,621.1100945756859,1043.5286277763903,554.7995649718135,1017.0171822947091,645.2230654622631,977.8336708157882,494.5172756470445,977.8336708157882,678.3783317769988,1206.9064662546878,443.2773233776335,1200.878236911864,720.5759579273315,1432.9650185539815,404.0938150976532,1435.9791271741956
6,100.0,1,"[339.4485168457031, 352.525390625, 788.2619018554688, 1586.4642333984375]",557.8273958199769,581.0776949678116,584.9408626334889,553.9642253119677,536.7391382189764,550.9516463359082,627.1173879078431,535.5927849450785,503.30464648477334,526.5549587083899,694.2505638631478,674.1727719631427,424.9768399296526,650.071890107944,651.2182418118811,873.564889158188,494.5626370048578,845.8914111707727,621.0921261625676,1042.0527545736004,554.8147643111537,1017.6100843118173,645.1930313269984,980.8987567784816,492.11004151515374,978.4461861339935,678.331711467725,1209.8570092424297,443.34830089056146,1203.831755049369,720.5082367420791,1433.3499343428323,404.184381643629,1433.9099442443644
7,116.67,1,"[339.4485168457031, 352.525390625, 788.2619018554688, 1586.4642333984375]",557.835189311206,582.1527812689039,584.9362996042046,555.0516746424155,536.7565438121356,552.0404844892962,627.0935899119927,536.2213883185689,502.8700686878954,527.18766728915,693.4160121358182,674.738185853632,424.57797788406043,650.6482811429136,651.1834270886451,872.7919644616089,494.59928620035697,846.3784740607003,621.0710538447204,1041.1302507661624,554.8239278847426,1018.0188452309953,645.1609755090623,982.5716168470445,490.90044235173065,978.8728104683453,678.2845337151335,1211.4254524585922,443.40830679692806,1205.4029413683159,720.4418240229217,1433.5690790989938,404.26224705284903,1432.881472421249
8,133.33,1,"[339.201904296875, 355.2305603027344, 786.0693969726562, 1587.3782958984375]",556.8388227430496,578.3092275062742,583.9150984425829,553.7014044615075,535.7795078470142,550.6929346199789,626.0337762639633,535.429890523576,502.46558736188496,526.4044429921302,694.5621586895521,673.819745655521,426.7136460886993,649.7519442607842,652.5700092688603,874.5003648673843,493.6608374413887,845.3028613599815,620.0167993101533,1042.9098043008037,553.830336751209,1016.786000746653,646.553053435491,983.4999494645139,492.77358824540505,980.1442584274143,679.6462831427305,1212.1440673071722,444.9851966564155,1203.658647131992,719.2965101350075,1434.4240800985237,403.4065725369587,1434.0768620474182
9,150.0,1,"[339.201904296875, 355.2305603027344, 786.0693969726562, 1587.3782958984375]",556.3315952481298,576.8616055673283,583.389114581451,553.5385783055345,535.2868769502472,550.532180190624,625.478618951574,535.3301419800713,502.0464456640242,526.3109375194445,694.7434820435326,673.6241095631227,427.6147125322931,649.5729917854201,653.2642110286861,875.0000804129916,493.1973712365514,844.9884477161603,619.465820908955,1043.3731515077945,553.325200126039,1016.3528030299682,647.2514177916847,984.7909508258986,493.1450900075886,981.0041821070816,680.3217263099518,1213.2766443087419,445.8231931451676,1203.5293654337408,718.6767426606029,1434.9693474747273,403.0056371331552,1434.1889806172028
10,166.67,1,"[339.31683349609375, 355.51824951171875, 786.0584106445312, 1587.3306884765625]",556.521578537469,577.0958727159344,583.5829042859817,553.397400661411,535.4739301750009,547.9196292801553,625.6782166196008,535.3352684369362,502.37765816542367,526.3148025988681,694.9958169558192,673.6485253866612,427.56338264979377,649.5940397887432,653.095553325566,875.2445004394104,493.37854081484977,845.0367990845763,619.6646434810363,1043.6429607923906,553.5147427659848,1016.4250746799668,647.0819279845703,983.9225660045846,493.5181293854483,980.6993507366873,680.1568779543464,1212.4402049729565,445.6255742882441,1203.0637303170818,718.8893878635259,1434.7278921093136,403.1742064111097,1434.5114671864267
11,183.33,1,"[339.31683349609375, 355.51824951171875, 786.0584106445312, 1587.3306884765625]",556.3723548744116,576.5118672782033,583.4265097949487,553.2456905844936,535.330303518349,546.4999262587787,625.5106109360826,535.2893711143915,502.343808383084,526.271294962637,695.2136033286658,673.5658815641655,427.97541257546385,649.5177835701795,653.3466939608833,875.6131268277784,493.2460822274052,844.9086580391981,619.498672924852,1044.0069301363415,553.3663100880882,1016.2514254014977,647.3346665372386,984.1047656300664,493.8904206826138,980.9611959291633,680.4008481841934,1212.5617313572845,445.9318029523185,1202.7617378470402,718.6970476964754,1434.8691930488656,403.0657003026298,1434.7316055281378
12,200.0,1,"[339.240234375, 355.40948486328125, 786.1043701171875, 1587.2816162109375]",556.5799278218766,577.1073116599524,583.6437762256352,550.7941712847,535.5302949275876,546.894679854299,625.7430888328025,535.2554582084764,502.484470995427,526.2341542146918,695.0787728635645,673.581732897987,427.5223459649488,649.5249938225171,653.0221560856847,875.261709050118,493.43097830757836,844.9860216024368,619.7289137460066,1043.6762475191492,553.5728220396917,1016.3903067212981,647.0079584367878,983.5379993276374,493.63572760788577,980.5204394235523,680.0860044404923,1212.0770032657706,445.532716066698,1202.8405340307243,718.9629597577523,1434.591463521216,403.21819147580703,1434.5809951827487
13,216.67,1,"[339.240234375, 355.40948486328125, 786.1043701171875, 1587.2816162109375]",556.613939635865,577.129021198066,583.6792780005011,549.4613775661779,535.5631358111763,546.4068041372492,625.7809489623586,535.2157155696744,502.5402433141585,526.1939163399381,695.115470311768,673.5496719746059,427.49009931448643,649.4916024130964,652.9776528628809,875.2605515549926,493.4614995024487,844.963418933502,619.7664204051226,1043.683473329874,553.6066737406071,1016.3771597894782,646.9631179744778,983.335562089863,493.6860265511554,980.4214584379611,680.0429917170173,1211.8871832840853,445.4767248346054,1202.7340983248484,719.0059583332475,1434.5175683370098,403.2437224069226,1434.6107328576893
14,233.33,1,"[338.9128112792969, 356.5001525878906, 786.626220703125, 1587.2039794921875]",559.2095804534907,575.579152441332,586.25584694703,550.6538619911963,535.7042504835111,547.790856996808,625.858518274341,535.9995120390873,502.6622223568331,526.9841033244622,695.005791606286,671.7667583714826,427.5421004602626,650.1949618211195,652.9132996745274,873.1548864021855,493.63223286112895,845.5292402598322,619.848242403891,1043.9149991082054,553.735110914671,1016.8223863354381,646.902975406639,983.7392665817318,493.67575803865276,980.7691391026091,679.9595663512058,1212.1300736369888,445.55841100990153,1203.1062190626537,719.0179517857994,1434.545744072538,403.4779264962278,1434.58080536071
