frame,timestamp,track_id,bbox,pose0_x,pose0_y,pose1_x,pose1_y,pose2_x,pose2_y,pose3_x,pose3_y,pose4_x,pose4_y,pose5_x,pose5_y,pose6_x,pose6_y,pose7_x,pose7_y,pose8_x,pose8_y,pose9_x,pose9_y,pose10_x,pose10_y,pose11_x,pose11_y,pose12_x,pose12_y,pose13_x,pose13_y,pose14_x,pose14_y,pose15_x,pose15_y,pose16_x,pose16_y
4,66.67,1,"[159.6237335205078, 412.1011657714844, 355.23919677734375, 840.372802734375]",0.46965089858960835,-0.8310522395528303,0.506791849652964,-0.8908405340344139,0.4811683799543481,-0.925005272191281,0.3842391344094089,-0.950628741889897,0.3415332902182275,-1.0189582182036314,0.034050646806422225,-0.691417074018873,0.011403390014294978,-0.6371938350890517,0.03702694633901082,-0.1533226077650849,0.03702694633901082,-0.12769930049040562,0.12243887294314745,0.39033657836432806,0.139521160809613,0.39033657836432806,-0.5181497211551416,0.16270096842883394,-0.5352320902335758,0.17978350534533555,-0.28753790372729043,0.8515603756439666,-0.3699733683749013,0.9284311204159519,-0.3387849676495415,1.526313545475186,-0.5151734649356032,1.7966551511975364
5,83.33,1,"[159.6237335205078, 412.1011657714844, 355.23919677734375, 840.372802734375]",0.4706854715067014,-0.8293280320050703,0.5059215965944367,-0.8890394003388827,0.4803310642701873,-0.9231602038857285,0.3853835708486401,-0.9487507362099779,0.3427327124973055,-1.0169923433036703,0.035645480575689406,-0.6917294962767965,0.011170269792329034,-0.6394330776246929,0.03676083457929403,-0.1543270947052456,0.03676083457929403,-0.12873677879910417,0.12206295165546473,0.390489975204472,0.13912324521983313,0.390489975204472,-0.5177018280939086,0.16129012709542645,-0.5347622298673318,0.17835066954061912,-0.2873865826976355,0.8511206824151243,-0.3715731293520927,0.927892560731413,-0.3385677717865474,1.5250060492932351,-0.5165864903216619,1.7968571236644009
6,100.0,1,"[159.6482696533203, 412.1380615234375, 355.14453125, 840.4061889648438]",0.4714737413545071,-0.8300526214596401,0.5054640996071292,-0.889820372806559,0.47984940974963386,-0.9239734390317851,0.38609130015009285,-0.9495881288892805,0.34340011151455363,-1.017894261339733,0.036022710247400766,-0.6936032592912231,0.010245312417301224,-0.6425363975247544,0.03585999753899377,-0.15569322426832286,0.03585999753899377,-0.12340573042409686,0.12124269270082705,0.39091804012886927,0.13831919621467298,0.39091804012886927,-0.5124536825492909,0.16022230888074734,-0.5362029814662261,0.17729867209644007,-0.2885935855034107,0.8519838250268064,-0.36746607099185274,0.928827944325221,-0.33982308982920917,1.5265058757289969,-0.5192891586941185,1.7998927287194448
7,116.67,1,"[159.6482696533203, 412.1380615234375, 355.14453125, 840.4061889648438]",0.472390766940495,-0.8294948529258839,0.5047892125711047,-0.8892491661204744,0.4791802688719508,-0.923394586463619,0.38702751004675,-0.949003530162774,0.3443459132026932,-1.0172943708490632,0.03703741789954442,-0.6946604340509945,0.009681499487854869,-0.6451892844277739,0.03529039233930056,-0.1568711117657641,0.03529039233930056,-0.12140208541347615,0.12065394937612531,0.3912020389986394,0.1377266533687362,0.3912020389986394,-0.5097115897751882,0.158973661733712,-0.5366442510652419,0.17604603945138397,-0.2890903690997633,0.8521643949443763,-0.3663408443278478,0.9289911367043467,-0.34030838114575734,1.5265351493068147,-0.5213185410300588,1.8014449620419066
8,133.33,1,"[158.58279418945312, 413.9438781738281, 356.70989990234375, 843.6959838867188]",0.4582344495221199,-0.8087792220589781,0.49870723642820813,-0.8685175763251487,0.4731050621152396,-0.9026535719800418,0.3520332403251894,-0.9352093739182507,0.33717779570813194,-1.0034815674859645,0.036906319418796366,-0.7145739120919284,0.024594563982263836,-0.6639867517884814,0.022381805318792317,-0.13520823777524946,0.03628926282720286,-0.12109671286015224,0.11467582340197013,0.3698648778490216,0.1526049095582194,0.3907261652406014,-0.4881916558859519,0.1388290957702498,-0.5563517124178325,0.14894337429065108,-0.2601892290136139,0.8376562789682777,-0.3645911681247969,0.9283698125901907,-0.3183470260954156,1.5327056136254857,-0.5190396770685198,1.806411707949731
9,150.0,1,"[158.58279418945312, 413.9438781738281, 356.70989990234375, 843.6959838867188]",0.4515166238291918,-0.7980164057623269,0.4952926766559457,-0.8577390916995655,0.46969717547593687,-0.8918659958199604,0.3347887854409443,-0.9279314822693325,0.33401008231552215,-0.9961855950472129,0.03733610947382552,-0.7251495436549845,0.031859742269541136,-0.6747800046373739,0.015574669397650152,-0.12482752736728438,0.03651494447347194,-0.11995939890130498,0.11136250464215981,0.3592073025241293,0.15983623644756706,0.39061786740640914,-0.4759583077249596,0.1280283070105895,-0.5665243648663827,0.13462172430610128,-0.24581255412781633,0.8303935635048976,-0.36314930922390104,0.9281196464459969,-0.30747320896747177,1.535814210582624,-0.5188718055112252,1.809652423378603
10,166.67,1,"[158.65745544433594, 414.015869140625, 356.67706298828125, 843.8780517578125]",0.45925324631757997,-0.8006459521114656,0.5027974668784079,-0.8604934144747161,0.4771486518769245,-0.8876783543976072,0.34516579145270304,-0.9368849334997247,0.34053867863844145,-0.998268526154733,0.035267858494872635,-0.721217745109485,0.021481325847914894,-0.6771179449725779,0.016022708901882895,-0.1254077807984837,0.03508334396975454,-0.11917685923151275,0.11104957866301737,0.3647726912077172,0.15673958688241368,0.3933638843599805,-0.4758668539079417,0.13374766282661313,-0.5733479848947615,0.13430303070943436,-0.2516824139579125,0.8289705233820077,-0.36631168851379553,0.924978249307798,-0.3125106452904098,1.5399978508354857,-0.5208286513590866,1.8067576181212757
11,183.33,1,"[158.65745544433594, 414.015869140625, 356.67706298828125, 843.8780517578125]",0.45994966571936396,-0.7967491479382649,0.5049850785158103,-0.8566530097380464,0.4793121549649426,-0.8802702679822202,0.34208624564691636,-0.9379328563140765,0.3423455715749112,-0.9957810515620842,0.03441574260409856,-0.7243546288973417,0.019695631970140914,-0.6835791151906542,0.012934502198193623,-0.12064546085083325,0.03445852102258717,-0.11822077952241106,0.10927384217553453,0.36243419727429493,0.15867503359372823,0.3947205363038782,-0.4698566178885479,0.13141842531240602,-0.5818091139377461,0.1271582538974728,-0.24768732314867747,0.824699704624512,-0.3672320074463503,0.9232437072457413,-0.309795758292255,1.5436603333923198,-0.5217511692726453,1.8068511599453088
12,200.0,1,"[158.7388153076172, 414.3624572753906, 356.7838134765625, 844.1953735351562]",0.4621438624677992,-0.80410402403651,0.5056268766763019,-0.857020754307641,0.47993334438066765,-0.8887404851991598,0.3489683145163019,-0.9427577086222543,0.3428526522925688,-0.9946654254107369,0.027098221947748708,-0.7291189804831564,0.024302855541116105,-0.6802220078892076,0.015827801636642998,-0.1204232727305756,0.03418127170943099,-0.1136355384245185,0.11768485479141243,0.3725973956753639,0.15530909444292978,0.40012777112435954,-0.47678453829824813,0.12733366122857287,-0.5837805640495002,0.12571255406118462,-0.2475287082744161,0.8276502952798419,-0.3682430644631401,0.9230848848089357,-0.3151275677037633,1.5413515864353804,-0.5224647076138551,1.8128300484901247
13,216.67,1,"[158.7388153076172, 414.3624572753906, 356.7838134765625, 844.1953735351562]",0.46361095506134775,-0.8059856729651593,0.507021934610065,-0.8553322464341148,0.4813061614133702,-0.88948302212736,0.3510075366738655,-0.9457482532807546,0.34399344974168583,-0.9928724944035786,0.02291488633531655,-0.7330985313405562,0.0258036871270889,-0.6816420893131098,0.015810832184459025,-0.11798503688305274,0.033733542339073906,-0.11080778933257365,0.12114849123382687,0.37668733422988643,0.1545194925213769,0.4035715317536782,-0.4774170235315263,0.1240936438493888,-0.5889202525583852,0.12148210666816303,-0.24549683841567194,0.8270817723468472,-0.36921070846400833,0.9221522458526572,-0.31654668738198755,1.5419417477807087,-0.5232794588899021,1.8159447535989424
