frame,timestamp,track_id,bbox,pose0_x,pose0_y,pose1_x,pose1_y,pose2_x,pose2_y,pose3_x,pose3_y,pose4_x,pose4_y,pose5_x,pose5_y,pose6_x,pose6_y,pose7_x,pose7_y,pose8_x,pose8_y,pose9_x,pose9_y,pose10_x,pose10_y,pose11_x,pose11_y,pose12_x,pose12_y,pose13_x,pose13_y,pose14_x,pose14_y,pose15_x,pose15_y,pose16_x,pose16_y
4,66.67,1,"[168.6185302734375, 402.5616760253906, 315.8843078613281, 842.3333740234375]",300.2763512652853,459.5539656929348,303.51379261846125,449.84164163340694,299.19719397503394,449.4627141537874,283.7101865022079,447.683337667714,282.3097680133322,445.14611551036006,256.0312699027683,489.0122587784477,257.48935467263925,495.48714148479957,268.9810552182405,549.4445668096128,267.9018979279891,555.2192303201426,285.16828188688856,609.4979566491169,285.16828188688856,611.2773039444634,206.76938065238622,598.7064660113791,203.91086744225544,600.8647805918818,228.73128078294837,686.8177012567935,217.93979478918988,693.9928031589674,225.4938394297724,769.9121279509171,206.0691614565642,796.5118779721467
5,83.33,1,"[168.6185302734375, 402.5616760253906, 315.8843078613281, 842.3333740234375]",300.24683545983356,459.36459748641306,303.47398708177644,449.68314262058425,299.1711080799932,449.54104481572693,283.96894902768344,447.5316918414572,282.1017243758492,445.2381658139436,256.14236052139944,489.2005389669667,257.3601857060971,495.65484221085256,269.0509935461957,549.4407985521399,267.9752661663553,554.9614762015964,285.18677819293475,609.5389828889266,285.18677819293475,611.5482867697011,206.80139425526497,598.7817780867867,203.71633115022078,600.9332328464674,228.45786981997284,686.8486301587976,217.70067629606828,694.2365589971128,225.23071819802988,769.6790001910666,205.8677686608356,796.4298387610394
6,100.0,1,"[167.58763122558594, 402.9071044921875, 316.5589904785156, 842.0173950195312]",300.8569851329378,459.43778118215096,304.07329539391884,449.7888742478613,298.94712398284406,448.97179639367766,283.95842085088515,447.6446862300048,281.7728126507757,444.6834043380484,256.0631368097953,489.49797859101284,257.1145409518353,495.0927959088758,268.92833740524327,549.5355584151388,267.85623176194144,554.8753473639771,285.00982441301863,609.593847569264,285.00982441301863,611.7587458594678,206.72584783776074,598.035095504797,203.48884379552266,601.0170622981925,228.98490677423547,685.9679349414527,217.4261347754834,693.4933393392314,224.9308410064625,769.3573856308454,205.63304011329052,797.0183594039953
7,116.67,1,"[167.58763122558594, 402.9071044921875, 316.5589904785156, 842.0173950195312]",301.13272002697926,459.37370370102366,304.33847731700877,449.7564670602534,298.82660034394,448.74109995474714,284.0886768710203,447.6193276795058,281.5070903210382,444.46679370127276,256.08340873588253,489.7383500603153,256.92978931455764,494.9122586914617,268.9063689501635,549.5788081361281,267.8377847574004,554.6994934554781,284.9350512251558,609.6414775633681,284.9350512251558,612.0008465373835,206.70653340659652,597.7181487315378,203.27858313619876,601.0928526073401,229.09347247693285,685.5638334886306,217.1701122844538,693.2661068707622,224.65017969662725,769.0820316471098,205.41573937520573,797.256313801058
8,133.33,1,"[165.83558654785156, 401.91851806640625, 316.9050598144531, 845.619873046875]",301.0347021054393,459.1506458578669,304.27431836284296,450.3136866882834,299.65049997277174,449.206196212439,283.7291096337389,447.27204518375385,283.175663795841,444.00481174541125,256.45557816513946,488.6627015712543,257.4566942379907,493.95570477603644,269.4140499280114,549.135598669648,268.3341788392525,554.4561942101532,284.73022350044374,608.8053464207611,285.612129284798,611.0438451841475,206.70264061494757,596.8204056373404,203.38425943711655,599.2844788587669,229.40759787932504,684.566823334698,215.65880030646574,693.0866309716155,224.98173237105044,768.9032953993305,205.5440123041345,796.283258203678
9,150.0,1,"[165.83558654785156, 401.91851806640625, 316.9050598144531, 845.619873046875]",301.12052030306006,459.0057849715218,304.3721508271538,450.58088922207065,300.0098703695881,449.32905604071846,283.61046956265966,447.08310597343814,283.89282387871424,443.66351947849273,256.65466134961605,488.23435790986986,257.6335598444147,493.3808467093618,269.66121461753755,548.9316616993906,268.57734034769976,554.2460689998072,284.58936511679576,608.4039069001699,285.91939764732143,610.6766407627198,206.6911624507171,596.2083362216088,203.3345372440326,598.4028604249186,229.62061555524045,683.861444521279,214.7649219318786,692.8836652631545,225.0121581020233,768.6770362196031,205.50230946517752,795.9058566545407
10,166.67,1,"[167.71533203125, 401.24554443359375, 317.71734619140625, 842.3080444335938]",301.8092197773044,460.0047785256347,305.045615935478,450.6146173901086,300.77541673669214,449.48050446232895,283.6094956338468,447.2543710531153,284.69372591673005,444.8462714398895,255.85620459621362,487.2883819503585,257.79507410742525,492.6035323056841,269.68541004424634,549.4684181457259,268.6066120687331,553.0716270881933,285.54836448565726,609.5857084047731,286.7510129313378,610.883210922457,206.2078685361492,595.8728200772848,202.9479280681397,598.8690068891138,229.80159200920338,684.0389012140336,215.45064085057786,692.8166991699508,225.4075378462564,769.147772523149,205.98914143693318,796.9798853388656
11,183.33,1,"[167.71533203125, 401.24554443359375, 317.71734619140625, 842.3080444335938]",302.2042481518439,460.44658610556564,305.43868309789127,450.76207387647565,301.34310964824334,449.61802701832033,283.5512050379931,447.2501760645132,285.4538361885861,445.2866421698856,255.54366217108011,486.594551234244,257.9640662040939,491.9248369459795,269.818216620697,549.6443734548735,268.74007221213253,552.3669160458329,285.9716092238437,609.9962931690411,287.32721219393767,610.8102882222119,205.9544020447112,595.4025913344935,202.72542080510075,598.6786400146154,229.9981761478822,683.7863175588634,215.36691793686825,692.6834859429902,225.6251438718959,769.2789935058534,206.21851741343295,797.346903987661
12,200.0,1,"[167.6392822265625, 399.76934814453125, 317.6226501464844, 847.6452026367188]",302.7399945771136,459.9039055181157,305.1133844006964,450.9367494037723,301.7187744379468,449.8325082694626,281.36375828946257,447.5880703360747,285.4427777303716,444.6218423454804,253.86249782857467,485.92720438759676,258.87224017290606,490.474271513932,269.9642595362875,550.3347020795193,268.8736600312988,552.4600601773939,285.47504174907704,609.6555690700375,287.54095398579415,609.7145100075263,206.39628142447873,594.3176347183619,203.13062699976098,596.7486829314653,230.53022733416051,683.79101769947,216.1911641273387,691.6881136929554,226.16033042161942,770.0831270386685,206.52949791026634,796.6934285884716
13,216.67,1,"[167.6392822265625, 399.76934814453125, 317.6226501464844, 847.6452026367188]",303.2072788640844,459.8401980596928,305.1375850219932,451.0981823247735,302.1878647389262,450.00954758047436,280.2121884751848,447.7595313596034,285.8069082402808,444.4947300383953,252.84719534600657,485.2469726102335,259.4207874179532,489.39923626701204,270.10386270888796,550.7747778270101,269.00718573365805,552.1650318536372,285.4259812615477,609.6803717178553,287.93103856637407,609.1163714014482,206.49986116924572,593.5317554733451,203.23043807751858,595.665071180915,230.89906711089836,683.6705441419113,216.57366523920052,691.1121990033902,226.54100771223906,770.5598751946279,206.80077618035693,796.5364438973596
