frame,timestamp,track_id,bbox,pose0_x,pose0_y,pose1_x,pose1_y,pose2_x,pose2_y,pose3_x,pose3_y,pose4_x,pose4_y,pose5_x,pose5_y,pose6_x,pose6_y,pose7_x,pose7_y,pose8_x,pose8_y,pose9_x,pose9_y,pose10_x,pose10_y,pose11_x,pose11_y,pose12_x,pose12_y,pose13_x,pose13_y,pose14_x,pose14_y,pose15_x,pose15_y,pose16_x,pose16_y
2,33.33,1,"[364.7959899902344, 381.1424865722656, 793.0431518554688, 1587.1982421875]",557.6084780485734,530.5636463994565,582.1838166610054,504.06797856869906,532.1364905315896,507.011927065642,617.5113605001699,509.95590608016306,504.61720209536344,515.8438030740489,675.366943359375,661.1215767238451,455.59351514733356,639.490186608356,634.151462720788,851.4553886081861,496.8089559803838,825.9834010912025,599.847608483356,1016.3172129755435,535.0804788340693,980.9896691363791,634.151462720788,971.1341128141984,492.84135768724525,971.1341128141984,676.3905931555706,1214.586181640625,467.36935955545175,1214.586181640625,710.6944473930027,1440.2475373641305,446.7616192361583,1447.1591637652853
3,50.0,1,"[364.7959899902344, 381.1424865722656, 793.0431518554688, 1587.1982421875]",558.0458214801291,530.6624172044836,581.9839397927989,504.1638701065727,531.9311735733695,507.1081370478091,617.3153182319974,510.0524345066237,505.04880689538044,515.9409683890964,675.8170776367188,660.5946177606997,455.3799053689708,639.6007663892664,634.5971122409986,851.5889759893003,496.59981769064194,825.4743280825409,599.6496555494226,1016.4686863111414,534.8754935886549,981.137307871943,634.5971122409986,971.9205773395041,493.2716820758322,971.9205773395041,676.2009463102921,1214.1192626953125,467.157030188519,1214.1192626953125,711.1484030018682,1440.4449993631115,446.547047490659,1446.7175080672553
4,66.67,1,"[365.2042541503906, 381.3455505371094, 793.1522827148438, 1587.1951904296875]",556.2507795392759,530.8690171049213,582.0483495571834,504.37206806536244,531.9985213834713,507.3161723302266,617.377641908913,510.2602832640152,505.55751128208044,516.1484679450898,676.3156723783588,660.3538177562723,455.451759827675,639.8009839273122,635.0982046965465,851.776677002533,496.6692607091328,825.2237869226451,599.7130029818791,1016.6466461689059,534.9426401459973,981.3173538171764,635.0982046965465,972.5409515453348,493.7810803048684,972.5409515453348,676.259748517759,1213.8458040287262,467.228190804887,1216.1464359528095,709.3443183083432,1440.598003324024,446.6194331153272,1446.430316988476
5,83.33,1,"[365.2042541503906, 381.3455505371094, 793.1522827148438, 1587.1951904296875]",555.622820528679,531.019244347576,581.9745912340128,504.52155263692555,531.9233210472163,507.4657457535466,617.3048928121046,510.40993415842763,506.02590828607686,516.2982851623517,676.7889321660202,659.963414891968,455.3743746244475,639.9543391728738,635.5703117877235,851.9360876062691,496.59306243578163,824.8380862551878,599.6397435358581,1016.810758969489,534.8675171894364,981.4804573913971,635.5703117877235,973.2481571643864,494.24913901853296,973.2481571643864,676.1886624666478,1213.471205034052,467.15114389199135,1216.8697069036705,708.7207288488946,1440.7742497850816,446.5417984735248,1446.0623723701494
6,100.0,1,"[365.7691650390625, 381.2930603027344, 793.1532592773438, 1586.7161865234375]",558.1421634760844,530.8636457386671,582.3105679675409,504.37504255472555,532.276521316647,507.31822558094643,617.6287010572913,510.26140561604046,506.0006955529852,516.1477381597772,674.3091018643074,662.5466748487402,455.75392401457543,639.7612296040999,633.1046216190542,854.0659403500647,496.95839831155166,827.364598417845,599.9696088822197,1016.4879900574147,532.8237792207202,983.565780519851,635.500545171241,972.5530658101335,491.83206851723804,972.5530658101335,676.4922237871841,1213.468151666839,467.5266274981357,1216.699774991808,708.7914870608046,1440.3055675848923,446.9243787120201,1448.375151801153
7,116.67,1,"[365.7691650390625, 381.2930603027344, 793.1532592773438, 1586.7161865234375]",559.113457141544,530.8584723181357,582.4450101585387,504.3741220337854,532.41900610378,507.3168355013504,617.757456423308,510.2595412543351,506.21827242484954,516.1449299573065,673.281794724776,663.667292626165,455.90872303801495,639.7385341278435,632.0839325971748,855.2266005661846,497.10655876798717,828.4586935322842,600.1011910470787,1016.40470146713,531.7483350784818,984.7056301473888,635.6973075422028,972.5477159714919,490.83409356798666,972.5477159714919,676.6115089872843,1213.2823478201753,467.6795269498499,1216.9691787613394,708.5207196013902,1440.154103549427,447.080595123818,1449.369375531103
8,133.33,1,"[365.7554016113281, 381.2784118652344, 793.17626953125, 1586.6414794921875]",559.0849417146541,530.7863138017466,582.4392792764464,504.3021804078218,532.4136689828115,507.2448638456434,617.7514504833294,512.6023306400267,505.9931070586289,516.0729292624815,673.3871660133981,663.4823087635631,455.90391640345393,639.6655891310114,634.604389059653,854.8202317081385,497.1014705401021,828.2724913004143,600.0953543196676,1016.3289240786121,532.0748160917051,984.298261014082,635.47113665592,972.2522719883511,490.94085291473425,972.2522719883511,676.6050661708471,1213.4250074789652,467.6746373628861,1216.5830333814188,708.822904797109,1440.0751992370917,447.0758698938558,1449.178445848984
9,150.0,1,"[365.7554016113281, 381.2784118652344, 793.17626953125, 1586.6414794921875]",559.5434459498933,530.7467845732906,582.5018284722394,504.2648340609342,532.4803377840633,507.2072733689166,617.8110884809947,513.8030095122165,505.98360703977545,516.034633106359,672.9407953048716,663.9332999830709,455.9768557048202,639.6171213115927,635.3999087411613,855.1771825439085,497.1710316858131,828.7099381089419,600.1564560738083,1016.2494878886544,531.7184016194124,984.6445617202598,635.4509819117412,972.0981365343293,490.5094822047572,972.0981365343293,676.6598670624364,1213.4076684073257,467.74660881358705,1216.5162142886045,708.8459975034175,1439.9609501653285,447.1495413744179,1449.5648193927846
10,166.67,1,"[366.357421875, 381.8063049316406, 793.140380859375, 1585.916748046875]",556.9036467208505,531.0662943595976,582.6664443965531,504.60480698238564,532.6836570201716,507.5449748140987,617.9484094173743,511.3575493832455,503.79014417818547,516.3654905301088,673.5835957572449,663.6015916124554,456.2393943462391,639.8523600965731,633.2937650287976,854.6957166286131,497.4017054919456,828.2508187911861,600.3074530081793,1018.6088309569514,532.4723142677449,984.0629258085925,633.1574019206873,972.0743146942457,491.2934281957029,972.0743146942457,676.7517226633366,1213.201005959185,468.0000414088565,1216.1619920632015,709.0560901536022,1439.5770780858693,447.4188914544824,1448.6255153533577
11,183.33,1,"[366.357421875, 381.8063049316406, 793.140380859375, 1585.916748046875]",555.7712339227795,531.2111245041966,582.7814028217226,504.7612065541651,532.8204930942321,507.7000892540824,618.0479360546847,510.6860086005064,502.6592227986807,516.5167473744903,673.6964927163441,663.6506822033621,456.40968912716755,639.949569959991,632.599338431169,854.6221571849159,497.55399477539436,828.22789677586,600.4147141444108,1019.7816592747055,532.6860306264417,983.9327495691836,631.9698886556578,971.9870926818787,491.48609837218316,971.9870926818787,676.8255504091017,1213.086453109763,468.16518953805456,1215.9475971940526,709.1752036013811,1439.3243829772794,447.5930399930833,1448.331179898783
12,200.0,1,"[366.4143371582031, 381.80889892578125, 793.1812133789062, 1585.7288818359375]",555.9906517941569,531.1646978218462,582.7654454027096,504.7140552765156,532.8030941770569,507.65302729175585,618.0329467455598,510.45328756346174,503.04767813763283,516.4698945712948,673.846054358574,663.4450581536139,456.3901317831542,639.9062605131006,632.5619494382873,854.4606565510446,497.53557779249564,828.0268925935543,600.3992324350154,1019.3811633985504,532.7928339461396,983.7749172274673,632.3619312644956,971.9919396766333,491.630517769305,971.9919396766333,676.8121800149931,1213.020474179932,468.1459631783594,1215.9279829754798,709.1552699295625,1439.3035993508206,447.573240341147,1448.147614059935
13,216.67,1,"[366.4143371582031, 381.80889892578125, 793.1812133789062, 1585.7288818359375]",555.5524814028139,531.2113066412116,582.813171050285,504.7659198389978,532.8607217570825,507.70431257969,618.0736628912467,510.0071058314202,502.6970436487773,516.5194107749007,673.9777807305825,663.3633382006014,456.4629266337135,639.9313056695141,632.204949249409,854.3419342737939,497.60019963957757,827.9125151948039,600.4434580961075,1019.7459997098879,532.9516443412548,983.6305379969142,631.9856103301466,971.9520003680351,491.7984084094533,971.9520003680351,676.8412265260547,1212.9308668178433,468.21642445675485,1215.8136191166461,709.2029747245125,1439.1700040593464,447.6477853852999,1447.9101651417827
14,233.33,1,"[367.99090576171875, 382.7672424316406, 790.6563720703125, 1586.946533203125]",558.0976532791962,531.9612409873271,582.369922562247,505.5055653451711,532.3981159859385,506.0289642065953,617.6441187252341,511.18285153095115,502.7902318333502,514.8475309389696,673.5265256926508,661.7918297039988,455.970692937633,640.7233727658495,632.1714987955281,855.2738826640006,497.12391171467556,826.4048264314903,600.0070288194368,1017.7150411669479,532.4323413540245,982.196553844571,632.1289793509723,970.4700171738824,491.2764402664288,970.4700171738824,674.0183818855104,1213.9319040859207,467.72875058352383,1214.441082686261,708.78071279581,1440.2720529831831,447.1521402499556,1446.6429182246768
15,250.0,1,"[367.99090576171875, 382.7672424316406, 790.6563720703125, 1586.946533203125]",559.1916467792003,532.3690587727594,582.165497174284,505.9106555963315,532.1885657887577,505.1934971504781,617.4433218950501,511.56964785574365,502.66753266446943,514.0129846992482,673.3588485817603,660.9449946527541,455.75330441027165,641.1423396431909,631.9806649987466,855.6947564216368,496.91073693410385,825.5748820040144,599.8044031058794,1016.8494620457317,532.2428910584676,981.3898684091128,632.0195571203451,969.6894831319588,491.0900380957452,969.6894831319588,672.5827742428015,1214.402422304698,467.5125687452159,1213.6805554273815,708.5870553937688,1440.7730511373663,446.93385104117095,1445.8765929095896
16,266.67,1,"[367.9817810058594, 383.0178527832031, 790.6803588867188, 1586.9337158203125]",559.0287984592828,532.4109314414173,582.2152298185036,503.5406799512223,532.2453632924731,505.6075034278591,617.488038748343,511.79242218244667,502.84544846301816,514.4257262257585,673.3520817117462,661.380524709056,455.82088580309704,641.1688711162924,632.1577356279016,855.7320212428876,496.97250417276723,825.9871328753685,599.8516054555198,1017.0716872676074,532.258622493094,981.777583810691,632.1791683058889,970.0353635016867,491.10908865064357,970.0353635016867,672.9879324573214,1214.3503456093,467.57849475228875,1214.0024249227165,708.6108261768168,1440.6865571948376,447.0026726816112,1446.2011475150734
17,283.33,1,"[367.9817810058594, 383.0178527832031, 790.6803588867188, 1586.9337158203125]",559.4773068056002,532.6308082018154,582.1413341709294,502.52055995861787,532.1726031701626,505.4137372396768,617.4133321191687,512.0949805681711,502.8771382517421,514.231758396714,673.2670444127363,661.1922829870647,455.7498512956388,641.386292164077,632.1558491124355,855.9558822425671,496.90053331199505,825.795151484024,599.7772857095173,1016.7647795260765,532.1745488316861,981.5843152711682,632.2079154719443,969.8333300857728,491.0282022911349,969.8333300857728,672.4976999711527,1214.5524710572881,467.50719703785825,1213.7977918298088,708.528834907493,1440.885832872632,446.9318370248166,1445.9950731257768
